Model,Dataset,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
mixingdta,sequence_chembl35_full,P10275,Transcription factor,36,1.468,2.155,-0.006,0.04,0.03,0.515,0.0
mixingdta,sequence_chembl35_full,P14416,Family A G protein-coupled receptor,134,1.201,1.442,-0.193,-0.181,-0.108,0.446,0.014
mixingdta,sequence_chembl35_full,P17931,Unclassified protein,38,1.656,2.744,-0.266,-0.305,-0.214,0.393,-0.095
mixingdta,sequence_chembl35_full,P21728,Family A G protein-coupled receptor,37,1.4,1.96,0.317,0.096,0.047,0.523,0.07
mixingdta,sequence_chembl35_full,P22303,Hydrolase,109,2.499,6.245,-0.106,0.032,0.022,0.511,0.003
mixingdta,sequence_chembl35_full,P23458,Kinase,99,2.031,4.125,0.694,0.71,0.501,0.751,0.349
mixingdta,sequence_chembl35_full,P24941,Kinase,50,1.174,1.379,0.323,0.267,0.177,0.588,0.076
mixingdta,sequence_chembl35_full,P27338,Oxidoreductase,124,1.195,1.428,0.088,0.104,0.068,0.534,0.004
mixingdta,sequence_chembl35_full,P28223,Family A G protein-coupled receptor,54,1.108,1.228,0.128,0.053,0.057,0.528,0.012
mixingdta,sequence_chembl35_full,P28335,Family A G protein-coupled receptor,22,1.33,1.77,-0.011,0.001,-0.022,0.489,0.0
mixingdta,sequence_chembl35_full,P28907,Hydrolase|Transferase,37,1.658,2.749,0.1,0.2,0.15,0.575,0.008
mixingdta,sequence_chembl35_full,P29274,Family A G protein-coupled receptor,46,1.86,3.461,0.232,0.183,0.124,0.562,0.045
mixingdta,sequence_chembl35_full,P29597,Kinase,51,1.414,2.0,-0.324,-0.296,-0.169,0.415,-0.011
mixingdta,sequence_chembl35_full,P31153,Transferase,50,0.841,0.707,0.575,0.558,0.402,0.702,0.095
mixingdta,sequence_chembl35_full,P34913,Hydrolase,70,1.45,2.104,0.491,0.483,0.345,0.673,0.11
mixingdta,sequence_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.648,2.714,0.303,0.168,0.117,0.559,0.068
mixingdta,sequence_chembl35_full,P35372,Family A G protein-coupled receptor,35,1.968,3.875,0.357,0.46,0.323,0.662,0.127
mixingdta,sequence_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.258,1.583,0.371,0.357,0.244,0.625,0.121
mixingdta,sequence_chembl35_full,P35462,Family A G protein-coupled receptor,79,1.38,1.905,-0.17,-0.222,-0.14,0.43,0.009
mixingdta,sequence_chembl35_full,P36544,Ion channel,33,1.179,1.391,-0.113,-0.161,-0.118,0.441,-0.0
mixingdta,sequence_chembl35_full,P37231,Transcription factor,16,1.677,2.811,-0.663,-0.642,-0.487,0.254,-0.159
mixingdta,sequence_chembl35_full,P41143,Family A G protein-coupled receptor,41,1.948,3.796,0.651,0.332,0.198,0.6,0.392
mixingdta,sequence_chembl35_full,P41145,Family A G protein-coupled receptor,34,1.556,2.42,0.211,0.243,0.159,0.579,0.036
mixingdta,sequence_chembl35_full,P42330,Oxidoreductase,99,0.996,0.992,-0.146,-0.062,-0.042,0.479,-0.003
mixingdta,sequence_chembl35_full,P42336,Transferase,111,1.01,1.02,0.402,0.483,0.318,0.66,0.161
mixingdta,sequence_chembl35_full,P42345,Kinase,55,0.773,0.598,0.541,0.545,0.406,0.704,0.219
mixingdta,sequence_chembl35_full,P42866,Family A G protein-coupled receptor,32,0.877,0.77,0.108,0.083,0.061,0.53,0.01
mixingdta,sequence_chembl35_full,P43166,Lyase,119,0.713,0.508,0.339,0.285,0.197,0.599,0.069
mixingdta,sequence_chembl35_full,P43490,Unclassified protein,38,1.652,2.728,0.297,0.315,0.241,0.621,0.075
mixingdta,sequence_chembl35_full,P45983,Kinase,68,1.682,2.828,0.771,0.669,0.485,0.747,0.48
mixingdta,sequence_chembl35_full,P49759,Kinase,97,0.983,0.966,-0.113,-0.038,-0.02,0.49,-0.001
mixingdta,sequence_chembl35_full,P49841,Kinase,113,1.832,3.355,-0.089,-0.13,-0.092,0.454,0.005
mixingdta,sequence_chembl35_full,P50406,Family A G protein-coupled receptor,77,1.028,1.056,-0.14,-0.139,-0.102,0.449,0.005
mixingdta,sequence_chembl35_full,P51449,Transcription factor,59,0.815,0.664,0.352,0.286,0.206,0.603,0.121
mixingdta,sequence_chembl35_full,P52333,Kinase,70,1.214,1.474,0.134,-0.041,-0.032,0.484,0.007
mixingdta,sequence_chembl35_full,P53350,Kinase,96,1.404,1.972,-0.33,-0.206,-0.146,0.427,0.05
mixingdta,sequence_chembl35_full,P53779,Kinase,159,1.276,1.628,0.547,0.529,0.376,0.689,0.239
mixingdta,sequence_chembl35_full,Q00987,Other nuclear protein,94,1.376,1.894,0.833,0.831,0.63,0.816,0.457
mixingdta,sequence_chembl35_full,Q02127,Oxidoreductase,31,0.68,0.462,0.687,0.464,0.33,0.665,0.455
mixingdta,sequence_chembl35_full,Q03111,Epigenetic regulator,48,0.989,0.979,0.479,0.381,0.278,0.639,0.21
mixingdta,sequence_chembl35_full,Q03181,Transcription factor,19,1.08,1.166,-0.411,-0.365,-0.287,0.357,0.024
mixingdta,sequence_chembl35_full,Q06124,Phosphatase,42,0.821,0.674,0.689,0.638,0.469,0.735,0.386
mixingdta,sequence_chembl35_full,Q06187,Kinase,69,0.91,0.829,0.424,0.477,0.326,0.663,0.172
mixingdta,sequence_chembl35_full,Q12809,Ion channel,119,2.624,6.885,0.115,0.112,0.074,0.537,0.006
mixingdta,sequence_chembl35_full,Q13546,Kinase,52,0.67,0.448,0.485,0.44,0.302,0.651,0.106
mixingdta,sequence_chembl35_full,Q13547,Epigenetic regulator,358,1.166,1.359,-0.067,-0.034,-0.03,0.485,0.002
mixingdta,sequence_chembl35_full,Q13627,Kinase,80,1.199,1.437,-0.124,-0.206,-0.151,0.424,0.005
mixingdta,sequence_chembl35_full,Q15910,Epigenetic regulator,44,0.696,0.484,-0.024,0.077,0.068,0.534,0.0
mixingdta,sequence_chembl35_full,Q16769,Transferase,52,1.917,3.675,-0.302,-0.301,-0.222,0.388,-0.011
mixingdta,sequence_chembl35_full,Q16790,Lyase,209,0.781,0.61,0.273,0.287,0.193,0.597,0.037
mixingdta,sequence_chembl35_full,Q72547,Hydrolase,164,1.17,1.369,0.167,0.074,0.037,0.519,0.007
mixingdta,sequence_chembl35_full,Q92630,Kinase,38,1.29,1.665,0.457,0.498,0.37,0.685,0.139
mixingdta,sequence_chembl35_full,Q92769,Epigenetic regulator,41,1.374,1.889,-0.295,-0.248,-0.153,0.424,0.005
mixingdta,sequence_chembl35_full,Q92918,Kinase,134,0.847,0.717,0.112,0.111,0.081,0.541,0.006
mixingdta,sequence_chembl35_full,Q96P20,Unclassified protein,73,1.322,1.746,0.312,0.237,0.174,0.587,0.07
mixingdta,sequence_chembl35_full,Q96SW2,Unclassified protein,56,1.336,1.785,0.787,0.643,0.452,0.727,0.485
mixingdta,sequence_chembl35_full,Q99538,Protease,40,1.41,1.987,0.243,0.178,0.118,0.559,0.035
mixingdta,sequence_chembl35_full,Q9NXA8,Epigenetic regulator,95,1.637,2.678,0.288,0.296,0.206,0.603,0.061
mixingdta,sequence_chembl35_full,Q9Y463,Kinase,42,0.932,0.868,0.223,0.175,0.109,0.555,0.018
